round,cumulative_samples,distinct_seen,posterior_mean_full_uniform,posterior_mean_full_dirichlet,posterior_mean_joint_c_alpha_c,posterior_mean_joint_c_alpha_alpha,true_m,occupancy_counts_desc
44,264,8,8.000000000000718,9.230689917100337,9.925678852019004,0.38464832015861194,9,136 56 37 13 8 6 4 4
45,270,8,8.000000000000341,9.21677570619035,9.908064502151532,0.3871446093890725,9,139 57 38 13 8 7 4 4
46,276,9,9.000000000002006,10.235538495963517,10.654193889569902,0.3827990128275397,9,141 57 39 13 8 7 5 5 1
47,282,9,9.00000000000123,10.224936165353276,10.641829490346158,0.3848313514327869,9,144 58 39 14 8 8 5 5 1
48,288,9,9.000000000000496,10.21458880556796,10.647230602296442,0.3803045821077187,9,148 59 40 14 8 8 5 5 1
49,294,9,9.000000000000457,10.20448640651024,10.641218186022705,0.38009551182079504,9,151 60 41 14 9 8 5 5 1
50,300,9,8.999999999999828,10.194619503777906,10.630252619004816,0.3817477751607688,9,155 61 41 14 9 8 6 5 1
51,306,9,8.999999999999973,10.184979140553864,10.636418878626928,0.37718967468188935,9,160 61 42 14 9 8 6 5 1
52,312,9,9.00000000000053,10.175556832748466,10.63580364200008,0.37519898960316816,9,163 63 42 15 9 8 6 5 1
53,318,9,9.00000000000028,10.166344537050435,10.629115353627057,0.37546557502037897,9,164 66 42 17 9 8 6 5 1
54,324,9,9.00000000000015,10.157334621621649,10.635646986678669,0.3710328841263032,9,169 67 42 17 9 8 6 5 1
55,330,9,9.00000000000008,10.148519839159022,10.640205508039294,0.367404029480274,9,173 68 43 17 9 8 6 5 1
56,336,9,9.000000000000043,10.139893302109813,10.634414710891056,0.36749058040511806,9,176 70 43 17 9 9 6 5 1
57,342,9,9.000000000000023,10.1314484598322,10.631486226011425,0.36661104144292045,9,181 70 43 17 10 9 6 5 1
58,348,9,9.000000000000012,10.123179077520385,10.63662057173763,0.36297090547895444,9,186 70 44 17 10 9 6 5 1
59,354,9,9.000000000000007,10.115079216738433,10.62384555253098,0.3656079086206251,9,188 71 45 17 12 9 6 5 1
60,360,9,9.000000000000004,10.10714321741404,10.539568677740444,0.39325104366041685,9,192 71 45 17 12 9 6 6 2
61,366,9,9.000000000000002,10.099365681161864,10.532222625326822,0.3940305275759748,9,193 75 45 17 12 10 6 6 2
62,372,9,9.000000000000002,10.091741455828346,10.53705799005808,0.3904258725056239,9,197 76 46 17 12 10 6 6 2
63,378,9,9.0,10.084265621138789,10.524133984386822,0.39327707552633273,9,200 76 48 17 12 10 7 6 2
64,384,9,9.0,10.076933475373524,10.527208825211707,0.3903956580906816,9,203 77 50 17 12 10 7 6 2
65,390,9,9.0,10.06974052296653,10.531928019615194,0.3869855372497376,9,207 78 51 17 12 10 7 6 2
66,396,9,9.0,10.062682462965617,10.525990457659208,0.38742733199902113,9,209 80 51 19 12 10 7 6 2
67,402,9,9.0,10.05575517827377,10.518549552551038,0.3884302777776212,9,212 81 51 20 13 10 7 6 2
68,408,9,9.0,10.048954725619508,10.505764310124434,0.39136755370904863,9,214 83 51 20 14 11 7 6 2
69,414,9,9.0,10.042277326188449,10.503819232613301,0.390460496237426,9,217 85 51 20 15 11 7 6 2
70,420,9,9.0,10.03571935686705,10.491908950459727,0.39312089869938155,9,221 85 52 20 15 11 7 7 2
71,426,9,9.0,10.029277342062564,10.463488738457315,0.4017981217213606,9,223 85 53 21 15 11 9 7 2
72,432,9,9.0,10.022947946031108,10.41546390678527,0.41771482990482667,9,226 86 53 22 15 11 9 7 3
73,438,9,9.0,10.016727965705579,10.422273273367924,0.41355551568580173,9,231 87 53 22 15 11 9 7 3
74,444,9,9.0,10.01061432395959,10.413425606570145,0.41528578812484157,9,234 88 53 23 15 12 9 7 3
